,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
59,PIKE,443672,KY,PIKE COUNTY PUBLIC LIBRARY DISTRICT,378153,480517,389125,568291,785740,785740,1967462,1320251,1386224,1319679,1609551,1509885,1806862,1902689,2319247,2415596,2513509,2553129,2809255,2995145,2975773,2882079,3410589,2718558
60,POWELL,105975,KY,POWELL COUNTY PUBLIC LIBRARY,88722,26600,96183,102982,98900,98900,178311,127206,129378,131053,146290,157376,163531,166095,209062,191668,204683,212930,232410,267520,250623,240174,278201,272942
61,ROCKCASTLE,27010,KY,ROCKCASTLE COUNTY PUBLIC LIBRARY,35038,34713,37146,41278,48418,48418,54538,56659,66744,83409,68899,81801,88629,91954,118813,129662,157202,176397,209142,244012,286348,306505,389762,376273
62,ROWAN,120215,KY,ROWAN COUNTY PUBLIC LIBRARY,120754,125544,141432,151361,163274,163274,188096,195384,208499,232594,276445,332382,360953,423995,506415,591302,672656,791762,903599,1067631,1193182,1202212,1181377,1253935
63,SCOTT,161385,KY,SCOTT COUNTY PUBLIC LIBRARY,179959,195779,528032,650663,707776,707776,892975,218646,992039,1180916,1301526,1385742,1522070,1752026,2009206,2122501,2344329,2464002,2697953,2578894,2581055,2419306,2515344,2537297
64,SIMPSON,146937,KY,GOODNIGHT MEMORIAL LIBRARY,152229,56821,171294,185059,195506,195506,212582,236041,251561,273864,294230,312687,339946,375139,408358,452223,475073,535490,610917,644856,666865,738851,770773,809713
65,SPENCER,46986,KY,SPENCER COUNTY PUBLIC LIBRARY,50567,53546,57963,65197,83604,83604,101904,113373,134165,151973,169355,192743,222173,252535,295848,347571,382802,404039,451589,479098,494695,507547,524103,540918
66,TODD,47252,KY,TODD COUNTY PUBLIC LIBRARY,47096,48285,54250,53957,62151,62151,66234,72211,73294,81193,85224,93182,102639,114588,131687,143064,168892,173045,194113,201689,242048,225829,271516,289390
67,TRIMBLE,92281,KY,TRIMBLE COUNTY PUBLIC LIBRARY,98664,110426,111698,114213,129250,129250,135955,109502,119646,187881,203442,250244,261712,312525,337349,437112,455638,542059,675195,581105,737953,626962,662989,639701
68,WASHINGTON,63793,KY,WASHINGTON COUNTY PUBLIC LIBRARY,66865,76613,83015,88425,102654,102654,119923,129672,142379,154753,164882,177732,195094,266305,287013,311503,325593,342774,365679,374992,408794,428136,458172,482610
69,WEBSTER,86167,KY,WEBSTER COUNTY PUBLIC LIBRARY,87430,103199,125046,113113,110392,110392,150580,146240,160900,165019,184802,214841,241046,253342,306317,304065,357499,365025,366229,387734,399796,399787,385826,385889
70,WHITLEY,139700,KY,WHITLEY COUNTY PUBLIC LIBRARY,134052,144863,137729,157203,135890,135890,284556,253116,253446,265578,312736,348208,417210,473093,484934,642610,734813,735024,642971,740846,776678,804013,805883,701908
