,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
144,2400056560,6400,NY,SPRINGPORT FREE LIBRARY,8440,10650,9825,9825,10825,10825,10825,32700,32700,32700,52700,94700,54700,57200,60200,60200,61700,63200,65700,68200,70700,69200,74700,76200
145,2400056910,43300,NY,WEEDSPORT FREE LIBRARY,45640,48300,52000,52000,53465,53465,68612,73112,73112,76042,77742,80342,82284,90440,90940,92000,92500,94545,95795,95795,95666,93331,104878,111248
146,2400111370,0,NY,KELLOGG FREE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2400111610,187862,NY,CORTLAND FREE LIBRARY,198200,207730,223050,221920,229850,229850,239975,254750,274900,281100,270500,272500,270000,279000,290100,270733,350000,349969,350000,350000,355073,360150,363752,368932
148,2400113010,25650,NY,PHILLIPS FREE LIBRARY,29000,31000,34500,36000,65000,65000,68000,70000,72000,74750,77150,81000,82300,108120,110120,157000,153050,153050,158050,158050,160421,63050,162496,276829
149,2400113810,9050,NY,LAMONT MEMORIAL FREE LIBRARY,10275,11875,12880,16500,17400,17400,33300,33900,34800,35350,36350,36000,36687,44000,45066,51017,56709,57962,59203,60571,37334,63828,67881,67851
150,2400113890,19450,NY,PECK MEMORIAL LIBRARY,16650,39750,38500,36000,36000,36000,36000,37100,36000,42000,42000,42000,42000,42000,52000,52000,52000,52000,52000,52000,52000,0,52000,52000
151,2400563170,3200,NY,INTERLAKEN PUBLIC LIBRARY,6780,6176,6218,8801,6190,6190,10473,11851,9900,13950,8675,11675,11675,18275,16675,16300,21150,19750,49631,27331,28118,36990,37428,35900
152,2400563730,3200,NY,LODI WHITTIER LIBRARY,6780,3676,7218,7027,5190,5190,7123,11301,350,17900,7625,6102,13102,13326,18000,14850,13200,25000,25131,23631,26131,37340,36278,36750
153,2400600630,2700,NY,BERKSHIRE FREE LIBRARY,2472,2482,2887,3449,3237,3237,6905,9000,9000,13750,13750,12588,12588,13561,14525,17686,19249,18971,19471,18971,19362,19862,20612,20812
154,2400601070,13700,NY,CANDOR FREE LIBRARY,14372,14372,15372,15849,16237,16237,17405,21500,27425,29250,29250,28088,28088,29061,30025,30436,33249,32971,32971,32971,32612,32612,32612,32612
155,2400604480,9000,NY,TAPPAN-SPAULDING MEMORIAL LIBRARY,6072,9000,8772,8772,9987,9987,8300,11300,8300,12800,10300,10300,16888,16888,18861,20825,27936,28249,27971,27971,27612,27612,27612,27612
156,2400604910,11963,NY,COBURN FREE LIBRARY,16899,15914,16307,17132,17912,17912,19682,21024,26525,28750,33850,34388,22725,31299,39543,29766,34534,31256,29601,29701,59342,12312,71412,43188
157,2400606220,10700,NY,SPENCER LIBRARY,10972,15972,14472,15449,15737,15737,26254,29321,29653,33903,32829,30720,32286,29466,32781,36652,33294,36977,36266,36909,36300,36412,29912,29812
158,2400606880,20500,NY,WAVERLY FREE LIBRARY,18809,18809,19409,20377,20213,20213,24402,29250,31250,38000,40000,18838,57838,48811,43775,45646,46499,15221,44221,52221,45862,43862,40612,39612
159,2400612690,76787,NY,GROTON PUBLIC LIBRARY,78617,79586,88117,92802,99009,99009,107350,113798,120427,124550,123216,125589,131992,136672,143560,146706,166378,166844,170512,188311,192150,199147,204159,212919
160,2400613230,918840,NY,TOMPKINS COUNTY PUBLIC LIBRARY,936607,902534,937744,1107027,1225577,1225577,1286456,1638108,2053357,1955161,1896644,1976579,2179769,2314138,2615076,2628902,2734524,2581757,2476333,2507760,2717351,3012655,3117518,3258287
161,2400614510,6600,NY,NEWFIELD PUBLIC LIBRARY,15850,13799,23028,26078,32287,32287,35000,48800,55250,49280,46497,49997,50917,56710,59183,69100,72670,78170,82609,79500,89550,90971,96817,99999
162,2400616490,32809,NY,ULYSSES PHILOMATHIC LIBRARY,33167,41010,45774,52700,63946,63946,72500,77000,93250,101580,96823,102297,103217,113217,113217,127250,128720,141470,139449,143760,145759,153585,159687,163869
163,3600211810,18181,NY,DOLGEVILLE-MANHEIM PUBLIC LIBRARY,33514,18368,29453,30479,23931,23931,30464,30951,30951,31153,46653,48153,48203,48732,47313,48898,50397,50397,50397,50397,50397,50397,50397,50397
164,3600212350,20314,NY,FRANKFORT FREE LIBRARY,20314,21964,21164,22314,22814,22814,22814,20814,23602,23542,26102,19602,27602,22215,21331,21950,11950,113950,89450,87400,81500,79450,79101,79101
165,3600213150,162317,NY,ILION FREE PUBLIC LIBRARY,180341,159384,154331,153106,155106,155106,162606,177253,185821,189748,195276,200776,201276,201908,160675,222318,195590,196590,195090,188579,188216,174705,189216,182775
166,3600213330,5094,NY,JORDANVILLE PUBLIC LIBRARY,8494,2096,5294,5294,5494,5494,7000,14100,14043,16881,18502,15562,20602,15114,21545,15591,28591,25591,21591,25591,21591,29591,21991,29991
167,3600213640,48191,NY,LITTLE FALLS PUBLIC LIBRARY,47651,53776,52626,52226,52626,52626,49178,34879,58371,61430,63391,73741,73741,73842,82047,81259,85049,86316,82633,86316,87866,89145,89140,91276
168,3600214100,8363,NY,MIDDLEVILLE FREE LIBRARY,9663,9813,5713,5913,6113,6113,28109,27691,4067,28076,28071,28080,28095,28092,28520,51890,28298,28684,45976,48542,49097,48756,48216,48975
169,3600214170,16521,NY,WELLER LIBRARY,16521,22021,17021,30521,25521,25521,26521,27021,27646,27271,27771,43271,25271,41136,35604,20735,43148,36074,35285,37555,38072,38581,38574,38600
170,3600214520,17581,NY,NEWPORT FREE LIBRARY,14031,17781,18281,12448,17431,17431,28139,27721,28081,28422,27819,28119,27759,28975,28639,28330,28298,28684,45976,48542,49097,48755,48216,48975
171,3600214750,36289,NY,OLD FORGE LIBRARY,36115,36811,46764,68129,51257,51257,50890,51040,50997,50997,76397,76397,76397,76439,76545,111591,111591,112387,110796,111591,110796,111591,112341,112382
172,3600216000,2300,NY,KIRBY FREE LIBRARY OF SALISBURY,3954,4505,4512,5323,4800,4800,5200,6200,6582,8582,13582,13582,13582,13614,14045,14091,14091,14091,14091,14091,14091,14091,14091,14091
173,3600251060,192196,NY,CANASTOTA PUBLIC LIBRARY,203572,232460,271692,283408,298928,298928,301212,300675,299051,298954,298954,298954,298110,297643,321143,321030,321217,321191,320913,320820,318401,340487,338222,342389
174,3600251340,134955,NY,SULLIVAN FREE LIBRARY,134660,135089,161053,170857,181450,181450,205314,211393,224926,237926,257926,272446,294763,447793,448395,457122,468384,484227,490647,490657,499717,516681,526633,540167
175,3600251860,2845,NY,EARLVILLE FREE LIBRARY,3847,4155,4818,4852,9304,9304,9483,10184,9205,12305,12745,12400,13686,12030,13117,15232,16159,16798,18890,17195,22291,22290,21278,26796
176,3600252730,67480,NY,HAMILTON PUBLIC LIBRARY,79014,56975,81478,92832,87673,87673,110135,102718,122321,124321,125121,125121,132550,136614,145284,148013,169812,172332,180170,196664,189128,207748,267825,221990
177,3600254410,28917,NY,NEW WOODSTOCK FREE LIBRARY,19427,41736,32082,39423,50453,50453,54290,64416,66983,78045,83495,93611,107356,129582,135055,141916,145404,149447,160890,163879,166614,170065,172895,173269
178,3600410470,9033,NY,BARNEVELD FREE LIBRARY ASSOCIATION,9033,9176,9576,10076,10076,10076,11179,12178,12594,12255,12096,12000,12040,17325,17599,19243,19173,20108,20733,19467,19464,19464,9282,19243
179,3600410760,22500,NY,ERWIN LIBRARY & INSTITUTE,21500,15050,34950,24950,26450,26450,28287,29418,31213,32697,30365,28727,29425,30178,27717,29072,28861,28545,27296,24863,23140,26320,29552,22866
180,3600410845,3075,NY,BRIDGEWATER FREE LIBRARY,13375,10400,12546,11273,9273,9273,12281,16013,15919,16734,16468,16437,13358,17137,13392,15236,17078,16465,14826,16886,14884,18384,15627,18573
181,3600411010,17809,NY,CAMDEN LIBRARY ASSOCIATION,18204,19374,19374,19874,18624,18624,23755,26858,25714,26046,25266,25738,25854,30202,29546,28860,29726,29051,25636,25250,24994,24244,23346,25942
182,3600411410,18786,NY,CLAYVILLE LIBRARY ASSOCIATION,19386,19665,22365,24865,25665,25665,32684,39762,41435,42729,41659,42426,43481,44512,46152,47641,48686,50805,51255,49993,50349,51349,51874,53070
183,3600411430,76065,NY,KIRKLAND TOWN LIBRARY,82165,95534,100382,117882,122882,122882,175114,195519,211007,208380,216346,219627,218557,217385,218954,226226,223982,227967,217812,207306,207282,207282,210427,213547
184,3600412990,12084,NY,HOLLAND PATENT FREE LIBRARY,12084,12512,12512,13612,14612,14612,16661,18261,33936,20268,18873,18915,19110,24626,26263,28186,27372,28276,28443,25722,25716,25716,26531,26531
185,3600414365,144139,NY,NEW HARTFORD PUBLIC LIBRARY,150889,160053,175053,190053,200053,200053,244645,292192,331469,390320,404499,425057,475333,498550,529256,567957,592853,534054,439960,469980,419934,469934,428414,294436
186,3600414430,83505,NY,NEW YORK MILLS PUBLIC LIBRARY,87005,88700,73720,55000,66287,66287,69383,65433,67602,73682,71774,66189,76818,81224,75942,58494,59931,58561,71310,75997,75000,65000,65900,70642
187,3600414830,18284,NY,ORISKANY PUBLIC LIBRARY,17784,19132,16507,16507,17674,17674,20236,21010,22416,21181,18214,23058,23475,16758,17295,24294,20645,35126,24489,22245,22240,27240,27912,25000
188,3600415385,11231,NY,PROSPECT FREE LIBRARY,10341,10419,9919,10419,10419,10419,11517,12200,12117,16068,18108,10659,25730,18400,17419,23458,17059,23798,22587,21794,21792,17792,17000,19060
189,3600416590,556499,NY,UTICA PUBLIC LIBRARY,556499,552999,635790,644380,477379,477379,700000,726069,800650,823134,759844,788092,798179,776374,1544526,853614,873570,861598,1004406,1602587,928907,939450,706362,1206189
190,3600416650,5807,NY,VERNON PUBLIC LIBRARY,6807,7538,7538,8038,8038,8038,11872,15191,15791,16898,14949,14885,14987,14480,17209,17006,16919,17475,17587,4294,0,2225,9000,12327
191,3600416850,42976,NY,WATERVILLE PUBLIC LIBRARY,47507,47666,49686,49686,53975,53975,64636,69320,70255,79901,81405,91068,123402,136023,145576,149525,153533,159988,159146,162254,171631,181585,192099,199485
192,3600417020,17494,NY,WESTERN TOWN LIBRARY,18523,14603,14603,15003,15003,15003,17860,20000,19350,20762,20103,20702,20692,20872,22070,22566,21458,21604,20922,19461,19458,19458,18000,18000
193,3600417090,336050,NY,DUNHAM PUBLIC LIBRARY,387121,410893,527676,433695,464537,464537,552049,606163,598454,687908,661728,660429,703166,714768,721038,765382,762322,778891,860382,794560,905832,945921,968856,1039354
194,3600417180,7161,NY,WOODGATE FREE LIBRARY,7252,7440,9379,14790,12182,12182,13112,13765,14103,14172,13282,12875,12811,12568,33489,34541,34450,34006,34006,32412,32410,33210,33210,33461
195,4000173310,146203,NY,JOHNSTOWN PUBLIC LIBRARY,146300,151800,153500,168250,172508,172508,189649,190643,204240,208246,213643,215143,239543,247243,254900,263000,285200,293200,291500,274500,274500,303500,314000,300600
196,4000173400,42442,NY,NORTHVILLE PUBLIC LIBRARY,42442,52760,59457,67925,72075,72075,86000,90000,91000,95500,93000,98000,100643,103191,105908,111890,115628,118977,123534,123534,132339,136877,139329,139329
197,4000270200,80500,NY,AMSTERDAM FREE LIBRARY,81500,81500,84750,85917,99042,99042,105333,114167,108050,103000,98000,98060,98359,98755,103586,94000,99000,89000,77500,70000,70000,70000,75000,99167
198,4000272310,9000,NY,FROTHINGHAM FREE LIBRARY,10625,10050,13300,13425,14800,14800,14700,15700,16200,16200,16200,19100,19100,23700,24000,25000,25000,26000,26000,26700,27117,27419,27716,27961
199,4000275800,5500,NY,MARGARET REANEY MEMORIAL LIBRARY,5500,5500,35500,34954,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,34947,34988,34985,35000,70000,70000,70000,70000
200,4000544060,20000,NY,MIDDLEBURGH LIBRARY,20000,30000,26000,30000,35000,35000,30000,40000,40000,39000,41000,40000,40000,40000,65645,79328,78500,85200,95000,102000,108000,115000,122500,130500
201,4400280080,1480016,NY,SHELTER ROCK PUBLIC LIBRARY,1593265,1679048,1791750,1840789,1960374,1960374,2040142,2127441,2223572,2487570,2780540,3335938,3070404,3134963,3301616,3352469,3519324,3593827,3607883,3725577,3800881,3866709,3952108,4170422
202,4400280430,1581520,NY,BALDWIN PUBLIC LIBRARY,1643890,1704385,1748120,1782050,1818290,1818290,1943150,2001150,2068550,2180950,2309675,2403850,2819385,3024000,3194815,3351440,3378940,3378940,3412725,3579044,3663054,3736030,3936085,4004617
203,4400280510,153350,NY,BAYVILLE FREE LIBRARY,159676,167000,171600,176300,179862,179862,199350,227188,252262,262353,315353,339243,362990,390214,417439,444098,474457,415577,581807,424575,473346,498692,498692,510637
204,4400280580,993298,NY,BELLMORE MEMORIAL LIBRARY,1056485,1096935,1184163,1243197,1292715,1292715,1424794,1509000,1591161,1670620,1720348,1806222,1982091,2080701,2184258,2291268,2434683,2434683,2453510,2453064,2502000,2646229,2738845,2783214
205,4400280660,1028402,NY,BETHPAGE PUBLIC LIBRARY,1102706,1181384,1253663,1336339,1448541,1448541,1639980,1801098,1923799,1930336,1950234,2000791,2020987,2128629,2252821,2220201,2438017,2253665,2265322,2307878,2444265,2605776,2643231,2712257
206,4400281930,2926548,NY,EAST MEADOW PUBLIC LIBRARY,2992566,3070160,3211427,3209266,3347571,3347571,3771105,4085149,4357728,4544779,4672383,4787985,4957017,5089478,5249582,5513103,5782795,5914462,6164584,6315591,6446920,6625746,6757009,6921096
207,4400281950,376466,NY,EAST ROCKAWAY PUBLIC LIBRARY,379710,418275,438540,455236,440009,440009,467486,513534,539962,584061,647748,688345,710460,737892,793969,842313,893632,897740,961172,849461,1017124,847545,847473,858043
208,4400281980,83631,NY,EAST WILLISTON PUBLIC LIBRARY,84182,76547,92979,80130,84630,84630,78154,81179,76100,84945,100832,91477,93496,91800,95200,98200,103700,106700,98013,117420,108400,90469,105000,127934
209,4400282140,1333179,NY,ELMONT PUBLIC LIBRARY,1398803,1449790,1538506,1538506,1538506,1538506,1538506,1542687,1619161,1690187,1761991,1924551,1892530,2110375,2758474,3052016,3082327,3211542,3155729,3096025,3115292,3136992,3159344,3164384
210,4400282210,1804440,NY,FARMINGDALE PUBLIC LIBRARY,1804440,1843574,1920727,2099603,2233330,2233330,2515539,2674604,2758958,2885764,2979831,3047998,3166366,3239435,3287910,3364670,3426020,3447221,3472573,3596682,3595527,3744036,3775705,3819158
211,4400282280,555905,NY,FLORAL PARK PUBLIC LIBRARY,503230,531524,549977,630278,636473,636473,858356,866229,910007,985000,865000,1010000,1107629,1125684,1164995,1250000,1387833,1100000,1306604,1313581,1363861,1414631,1452610,1396614
212,4400282370,655295,NY,FRANKLIN SQUARE PUBLIC LIBRARY,687500,814500,876400,901200,912257,912257,941675,1006500,1228850,1400981,1526377,1674899,1812965,1934051,2015065,2064737,2064737,2048000,2048000,2048000,2078720,2297817,2331365,2369133
213,4400282400,2383387,NY,FREEPORT MEMORIAL LIBRARY,2357427,2584020,2803909,2884836,2845647,2845647,2935593,3170440,3325778,3497854,3909991,4341449,4486312,4743880,4997007,5071033,5265890,5253934,5212566,5374184,5454730,5722588,5762780,5900116
214,4400282450,1786729,NY,GARDEN CITY PUBLIC LIBRARY,1850185,2010064,2181585,2234797,2251893,2251893,2386161,2454356,2463399,2762759,2782042,3069199,2989529,3166979,3118651,3500828,3440943,3517614,3009046,3078244,3183125,3185069,3244870,3198702
215,4400282500,1168428,NY,GLEN COVE PUBLIC LIBRARY,1034072,1132100,1422027,1350789,1331445,1331445,1426200,1362292,1585998,1664004,1720072,1864300,2054928,2213734,2343238,2492901,2469172,2501307,2576854,2656498,2626354,2746125,2515632,2124172
216,4400282610,5176833,NY,GREAT NECK LIBRARY,5284239,5542652,5632399,5550176,5598920,5598920,5753357,6040658,6236000,6265716,6514083,6981843,8113650,7614750,7824000,7824000,7824000,7879000,8092500,8238000,8238000,8734644,9512838,9518928
217,4400282840,1360796,NY,HEMPSTEAD PUBLIC LIBRARY,1234703,1345000,1525000,1525000,1535000,1535000,1895810,1964000,1464000,1470520,1920520,2070539,2084687,2170000,2270997,2327276,2509666,2367778,2565483,2609978,2617874,2836989,2786304,2700991
218,4400282900,1904722,NY,HEWLETT-WOODMERE PUBLIC LIBRARY,2131731,2290607,2368596,2563291,2618446,2618446,2900123,2999867,3130718,3300663,3496186,3737406,3963795,4203612,4349238,4493925,4639984,4687793,4868887,5037583,5188396,5336181,5477908,6118938
219,4400283200,240818,NY,ISLAND PARK PUBLIC LIBRARY,262547,329605,462646,527634,538700,538700,595453,606753,636300,656944,705940,741239,778301,855897,958604,1049671,1101104,1101104,1101104,1117621,1136621,1159353,1185152,1286562
220,4400283210,363800,NY,ISLAND TREES PUBLIC LIBRARY,375502,398200,417120,509051,593201,593201,525100,509975,590469,727236,787583,905315,972831,1025470,1026150,1053200,1082530,1082530,1123050,1134281,1145624,1157080,1168646,1180330
221,4400283290,1612916,NY,JERICHO PUBLIC LIBRARY,1676950,1792675,1976438,2075520,2202214,2202214,2278927,2391949,2510112,2621267,2781120,3029536,3512060,3738528,4034320,4227725,4354500,4393400,4566600,4658100,4746900,4862900,4955275,5053375
222,4400283505,273671,NY,LAKEVIEW PUBLIC LIBRARY,775175,349243,335675,283248,349204,349204,419286,419244,419314,487570,488069,525257,681507,931495,1000709,1000727,1000257,1084265,1246512,1273200,1280273,1290848,1320736,1329914
223,4400283540,1351050,NY,PENINSULA PUBLIC LIBRARY,1398400,1466349,1546496,1652795,1751484,1751484,1980962,1817306,1820929,1876045,1941890,2016363,2107037,2192699,2265044,2354275,2463736,2534925,2600573,2685729,2741067,2789729,2842823,2897166
224,4400283570,2371756,NY,LEVITTOWN PUBLIC LIBRARY,2376456,2542408,2788448,2826684,3002299,3002299,3186823,3269273,3472997,3642409,3834301,4121215,4476099,4857695,5564517,5944134,6234448,6346511,6474233,6821953,6955917,7113692,7253548,7371055
225,4400283720,480060,NY,LOCUST VALLEY LIBRARY,512713,550939,554440,574618,603348,603348,729559,789989,841549,933060,1019519,1108548,1190431,1247398,1268677,1316561,1362206,1384645,1414237,1440746,1438246,1437328,1437322,1437346
226,4400283740,1367037,NY,LONG BEACH PUBLIC LIBRARY,1406217,1440381,1484621,1484621,1542002,1542002,1736010,1816762,1919988,2014280,2101015,2300151,2380868,2494363,2620409,2771763,2917085,2951953,3008667,3087702,3150670,3183863,3195631,3225843
227,4400283760,526020,NY,LYNBROOK PUBLIC LIBRARY,492925,565079,583170,650961,681766,681766,669482,780843,747265,801781,901025,1056161,1043069,1224572,1268739,1243556,1210919,1361586,1240960,1353158,1213394,1195951,1397025,1438623
228,4400283840,310666,NY,MALVERNE PUBLIC LIBRARY,320000,360000,340000,308107,387505,387505,416613,428747,444706,462940,474000,525112,547250,560849,635885,680795,692169,674947,674336,740032,741233,693502,664338,654977
229,4400283860,1692048,NY,MANHASSET PUBLIC LIBRARY,1818321,1882874,1918113,1963015,2089300,2089300,2311600,2392121,2463454,2547427,2623532,2701907,2809256,2809258,3011548,3120321,4377731,4464024,4528105,4659705,4752786,4847832,4939027,5031213
230,4400283960,2356035,NY,MASSAPEQUA PUBLIC LIBRARY,2353234,2407847,2455906,2546228,2546228,2546228,2892557,3302797,3355258,3498412,3939721,4224697,4422970,4521735,4665652,4784756,4917584,4961128,5195028,5297000,5429479,5543472,5641233,5747063
231,4400284040,1032145,NY,MERRICK LIBRARY,1127400,1238343,1276107,1287786,1282934,1282934,1398255,1333721,1397282,1359390,1382614,1643320,1868113,2590368,2829281,2991149,3102198,3173390,3207233,3264416,3283490,3396826,3455643,3530125
232,4400284150,587006,NY,MINEOLA MEMORIAL LIBRARY,673845,659032,672630,654000,654000,654000,567058,806155,858755,977525,1035797,1192477,1129923,1262051,1525356,1593188,1639622,1667836,1741554,1812134,1824666,1853712,1880374,1938147
233,4400284590,1007472,NY,NORTH BELLMORE PUBLIC LIBRARY,1137731,1218590,1281269,1355024,1359563,1359563,1450036,1549085,1605256,1703441,1776367,1893500,2094850,2241700,2354700,2354700,2480450,2480450,2554300,2595200,2604250,2692800,2673084,2735830
234,4400284620,962254,NY,NORTH MERRICK PUBLIC LIBRARY,960740,1017750,1074875,1153852,1199073,1199073,1318743,1328021,1369182,1396915,1450116,1547719,1671387,1833798,1916387,1955493,1988371,1988371,1988371,1988371,2112731,2201071,2370219,2454087
235,4400284730,1424784,NY,OCEANSIDE LIBRARY,1451448,1546660,1646935,2239327,2342388,2342388,2486749,2498858,2495712,2600611,2600304,2875426,3188309,3497097,3771156,3870952,3966712,4004244,4004249,4113069,4195769,4272352,4330379,4373911
236,4400285180,1264070,NY,PLAINEDGE PUBLIC LIBRARY,1293811,1324570,1395284,1449281,1490137,1490137,1655181,1695303,1720768,1768349,1895364,1981555,2075682,2174272,2250374,2312259,2370065,2405616,2441700,2472221,2509304,2546943,2572412,2585361
237,4400285330,3423108,NY,PORT WASHINGTON PUBLIC LIBRARY,3551160,3214160,3299310,3499112,3657550,3657550,3956795,4151157,4432939,4652786,4885008,5326344,4875546,5667355,5867968,6096806,6337466,6483740,6574408,6643192,6775676,6926233,7027089,7128071
238,4400285630,1283403,NY,ROCKVILLE CENTRE PUBLIC LIBRARY,1336966,1419050,1465250,1259950,1597800,1597800,1709900,1778650,1836175,1929900,2056800,2367673,2452900,2549468,2661228,2790641,2883820,2942111,3031795,3134104,3189848,3259577,3319655,3385692
239,4400285660,502738,NY,ROOSEVELT PUBLIC LIBRARY,687276,1036885,1068832,1135288,1186103,1186103,1174651,1171973,1157226,1160001,1122827,1130847,1194619,1935258,2522815,2680936,2795974,2851922,5905373,3416608,2865830,2866653,2867353,2816472
240,4400285700,2165043,NY,BRYANT LIBRARY,2246876,2332449,2382750,2460180,2592580,2592580,2858100,3012525,3181370,3323810,3502830,3683825,3790705,3954480,4368964,4185535,4331009,4330999,4501878,4598818,4591253,4681872,4784070,4861309
241,4400285980,131697,NY,SEA CLIFF VILLAGE LIBRARY,139000,136000,139000,139000,139000,139000,149000,150000,157500,173250,200000,211000,216000,250000,277000,252000,267999,268000,268000,312405,312405,312405,300000,300000
242,4400285990,830633,NY,SEAFORD PUBLIC LIBRARY,913955,868376,900932,940344,982877,982877,1079838,1110611,1197646,1294767,1397760,1443881,1539275,1621393,1647744,1707469,1770295,1773291,1807763,1875852,1912587,1925384,1962366,1996126
243,4400286370,1761750,NY,SYOSSET PUBLIC LIBRARY,1764250,1993750,2140757,2302496,2319704,2319704,2474696,2524625,2605329,2680069,2813636,3067894,3339566,4153234,4493374,4968625,5645434,5955133,6211784,6430882,6692581,6699991,6943650,7024251
244,4400286570,1061480,NY,UNIONDALE PUBLIC LIBRARY,1118656,1205428,1252627,1312450,1423289,1423289,1484754,1543140,1600947,1697573,1799011,2028125,2778726,2954671,3155953,3138729,3512589,3659520,3766526,3999272,4129169,4133813,4076347,4177833
245,4400286640,673567,NY,HENRY WALDINGER MEMORIAL LIBRARY,711141,755539,769133,807254,688460,688460,747411,857234,842407,899052,911440,917076,930607,1025764,1068195,1112680,1180880,1144181,1286989,1333656,1419475,1370509,1453917,1599176
246,4400286750,855449,NY,WANTAGH PUBLIC LIBRARY,893038,950438,1016271,1051591,1095418,1095418,1250126,1303417,1359767,1443844,1516870,1594784,1754205,1881339,2017316,2093629,2155886,2119600,2119600,2170697,2305116,2351400,2396900,2436900
247,4400286940,710645,NY,WEST HEMPSTEAD PUBLIC LIBRARY,766505,818285,863644,905040,947997,947997,1068051,1125288,1255840,1377452,1451937,1486710,1631277,1806755,2955822,2919210,3111652,3185100,3256225,3190186,3272226,3336228,3359697,3417137
248,4400287010,897000,NY,WESTBURY MEMORIAL PUBLIC LIBRARY,959700,1154300,1243860,1315454,1366800,1366800,1499000,1628000,1637740,1789472,1816836,2278142,2616265,2671026,2764601,2758797,2765907,2758797,2932126,3010145,3042028,3028320,3024442,2967998
249,4400287130,182351,NY,WILLISTON PARK PUBLIC LIBRARY,196227,206641,228034,236839,239022,239022,263134,272347,297866,307215,318215,333000,394019,374029,389338,416630,413524,347006,388825,424864,450219,469920,475058,413003
250,5200180480,518017,NY,RICHMOND MEMORIAL LIBRARY,554064,570844,609121,620930,652290,652290,728684,776555,822182,871116,909860,953306,994661,1024186,1064808,1109219,1148459,1316021,1204569,1221276,1245681,1252278,1289756,1322958
251,5200183560,158582,NY,WOODWARD MEMORIAL LIBRARY,108430,140633,143997,152863,149916,149916,153082,151231,152523,152740,163999,191005,228067,236112,256645,273719,281623,293998,330667,326723,331195,316534,315903,314705
252,5200403580,184760,NY,LEWISTON PUBLIC LIBRARY,209254,223215,250500,269108,334683,334683,405001,416228,416175,348495,283884,320366,308559,324334,342465,366287,403401,400268,396643,410347,408073,406903,412540,410290
253,5200403710,571485,NY,LOCKPORT PUBLIC LIBRARY,571485,712013,752046,816291,846933,846933,955459,997081,1081594,1099238,1114574,1146425,1176028,1209129,1260422,1306197,1340012,1377007,1384507,1403735,1447419,1468317,1491466,1515737
254,5200404530,1276495,NY,NIAGARA FALLS PUBLIC LIBRARY,1251586,1390887,2558523,2706184,2615357,2615357,2547011,2473980,1709754,1725547,1629019,1964114,2120369,1715117,1707848,1765222,1771677,1775853,2033204,2055564,1995390,1915520,1922073,1922068
255,5200405830,50503,NY,SANBORN-PEKIN FREE LIBRARY,52509,55964,58620,60407,94110,94110,88494,97358,98804,122007,97608,101130,103298,107367,107538,114532,116216,156769,117173,122320,125216,124662,129961,128326
256,5200407250,59583,NY,YOUNGSTOWN FREE LIBRARY,62077,62985,65587,67124,72375,72375,73818,75125,76394,75685,78997,78715,80582,82913,85194,87383,90129,91740,91436,91265,92417,94430,95768,98276
257,5200453000,43779,NY,COMMUNITY FREE LIBRARY,35835,59584,51054,54614,60495,60495,70025,70028,81476,80395,91710,86921,87701,87775,93274,96621,99294,100667,104294,103133,105594,107318,110987,118763
258,5200454020,234859,NY,LEE-WHEDON MEMORIAL LIBRARY,245069,265507,143892,432145,317827,317827,352666,375641,398566,421211,433589,434094,453273,468106,491549,495335,535861,535828,532691,542131,552706,561707,563665,569226
259,5600220010,16698,NY,ADAMS FREE LIBRARY,13606,14969,16311,15107,15690,15690,16935,16935,16935,16762,18262,18132,18862,21134,24849,41743,33242,48242,48386,48495,48276,48276,48276,48276
260,5600220020,11107,NY,ADAMS CENTER FREE LIBRARY,7196,12704,10799,10996,11985,11985,15065,16065,16565,16950,18450,18163,19150,19764,37341,38437,38437,53437,53533,53840,53694,68694,68694,68694
261,5600220250,7687,NY,CROSBY PUBLIC LIBRARY,7630,8044,7946,8630,8620,8620,8694,9694,14694,14601,15601,15332,20601,20870,20781,20857,21360,21361,21459,20944,32695,30334,38049,41693
262,5600220570,2634,NY,PHILOMATHEAN FREE LIBRARY,5349,3547,3488,3600,3793,3793,6239,6339,6589,6862,6962,6885,5212,9377,7564,10689,10890,11090,13249,13299,16132,16132,19222,14695
263,5600221100,11907,NY,CAPE VINCENT COMMUNITY LIBRARY,12022,14794,13648,13922,13907,13907,14018,14018,39018,24813,24845,19345,34855,34286,35178,37829,37828,37844,38012,38154,86017,50564,53549,63563
264,5600221120,33144,NY,CARTHAGE FREE LIBRARY,35516,36662,37821,39957,39895,39895,45356,46856,50556,50772,51772,52682,52572,65404,71332,71862,76862,86862,93392,104392,135138,137138,144138,149138
